rank,term,p_value,z_score,combined_score,overlap_genes,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adj_p,overlap_count
1,Mitotic G1 Phase And G1/S Transition R-HSA-453279,2.90759813834101e-09,27.14765330592669,533.6126032194313,"['CCNA2', 'CDKN1A', 'PCNA', 'CCND1', 'SRC', 'POLE2', 'MYC', 'E2F2']",1.145824459748525e-06,0,0,5.940881911166149,8
2,"Cell Cycle, Mitotic R-HSA-69278",4.432589786261218e-09,12.01297764960346,231.06099763190963,"['CDC20', 'CCNA2', 'CDKN1A', 'PCNA', 'CCND1', 'SRC', 'POLE2', 'MYC', 'PLK1', 'E2F2', 'KIF20A', 'CDC25B']",1.145824459748525e-06,0,0,5.940881911166149,12
3,Signal Transduction R-HSA-162582,2.522941936615664e-08,5.630577159230454,98.50838369445395,"['EGR1', 'USP7', 'CDKN1A', 'SRC', 'SERPINE1', 'PLK1', 'KIF14', 'IKZF1', 'CXCL2', 'DUSP6', 'CDC20', 'NFKBIA', 'FOSL1', 'DNAJB1', 'RRAGA', 'CCND1', 'CASP10', 'ID2', 'MYC', 'NRIP1', 'GNAS', 'IER3']",4.347869937434328e-06,0,0,5.361723455914957,22
4,Cell Cycle R-HSA-1640170,5.2568880454150546e-08,9.497294638465322,159.1854994794396,"['CDC20', 'CCNA2', 'CDKN1A', 'PCNA', 'CCND1', 'SRC', 'POLE2', 'MYC', 'PLK1', 'E2F2', 'KIF20A', 'CDC25B']",6.794527798698958e-06,0,0,5.167840720174354,12
5,S Phase R-HSA-69242,1.4352589658852437e-07,20.92600422832981,329.72582453247594,"['CCNA2', 'CDKN1A', 'PCNA', 'CCND1', 'POLE2', 'MYC', 'CDC25B']",1.3263026982803065e-05,0,0,4.877357346828466,7
6,Cellular Responses To Stress R-HSA-2262752,1.5392294370757908e-07,8.557449962935507,134.2391235320813,"['CCNA2', 'HSPA8', 'DNAJB1', 'RRAGA', 'CDKN1A', 'MYC', 'NRIP1', 'E2F2', 'HMOX1', 'CHAC1', 'TLR4', 'HSPA1A']",1.3263026982803065e-05,0,0,4.877357346828466,12
7,Cellular Responses To Stimuli R-HSA-8953897,1.8932299471322446e-07,8.385867984879326,129.81165410813506,"['CCNA2', 'HSPA8', 'DNAJB1', 'RRAGA', 'CDKN1A', 'MYC', 'NRIP1', 'E2F2', 'HMOX1', 'CHAC1', 'TLR4', 'HSPA1A']",1.3982855466676722e-05,0,0,4.854404131395107,12
8,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,2.671511845408456e-07,26.798829882988297,405.6123793534149,"['HSPA8', 'CDKN1A', 'CCND1', 'MMP1', 'MYC', 'HMOX1']",1.7264645300952145e-05,0,0,4.762842339725277,6
9,Immune System R-HSA-168256,4.732613112373795e-07,5.267045454545454,76.70723875738415,"['HSPA8', 'EGR1', 'CD40', 'CDKN1A', 'MMP1', 'SRC', 'CXCL2', 'DUSP6', 'CDC20', 'NFKBIA', 'CCND1', 'CASP10', 'MYC', 'HMOX1', 'ALDOC', 'KIF20A', 'TLR4', 'HSPA1A']",2.7186233101080576e-05,0,0,4.56565096367939,18
10,G1/S Transition R-HSA-69206,8.066285288489252e-07,21.981152993348115,308.4044257982293,"['CCNA2', 'CDKN1A', 'PCNA', 'CCND1', 'POLE2', 'MYC']",4.170269494148943e-05,0,0,4.379835878829601,6
11,Cytokine Signaling In Immune System R-HSA-1280215,9.87018939562275e-07,7.861108018850421,108.70793446776212,"['NFKBIA', 'HSPA8', 'EGR1', 'CD40', 'CDKN1A', 'CCND1', 'MMP1', 'MYC', 'HMOX1', 'CXCL2', 'DUSP6']",4.638989015942693e-05,0,0,4.333576655789308,11
12,Signaling By Interleukins R-HSA-449147,1.592977692334515e-06,9.643704680290046,128.74254644775382,"['NFKBIA', 'HSPA8', 'CDKN1A', 'CCND1', 'MMP1', 'MYC', 'HMOX1', 'CXCL2', 'DUSP6']",6.863078891141203e-05,0,0,4.163481008862443,9
13,Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656,2.1158346705366397e-06,27.947960618846693,365.16976330312895,"['CCNA2', 'CDKN1A', 'CCND1', 'MYC', 'CDC25B']",8.414511728211097e-05,0,0,4.07497107991346,5
14,Cyclin D Associated Events In G1 R-HSA-69231,5.694037319250313e-06,40.25682507583418,486.145083590463,"['CDKN1A', 'CCND1', 'SRC', 'E2F2']",0.00021027266386088657,0,0,3.677217183357594,4
15,Signaling By NTRK1 (TRKA) R-HSA-187037,9.511079145326681e-06,20.22528032619776,233.86599266061717,"['FOSL1', 'EGR1', 'SRC', 'ID2', 'DUSP6']",0.0003151463483906123,0,0,3.501487720691293,5
16,Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787,9.753078480173687e-06,90.8936170212766,1048.7239707879182,"['CDKN1A', 'CCND1', 'E2F2']",0.0003151463483906123,0,0,3.501487720691293,3
17,Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,1.6236244442281695e-05,30.347826086956523,334.68385319402523,"['FOSL1', 'EGR1', 'ID2', 'DUSP6']",0.0004937728456858609,0,0,3.306472797136069,4
18,Signaling By NTRKs R-HSA-166520,1.9375417988437645e-05,17.342957130358705,188.19719311439974,"['FOSL1', 'EGR1', 'SRC', 'ID2', 'DUSP6']",0.0005565050611123479,0,0,3.2545308816380416,5
19,Transcriptional Regulation By TP53 R-HSA-3700989,2.6626351706250253e-05,9.196501574961463,96.87235329354836,"['CCNA2', 'USP7', 'RRAGA', 'CDKN1A', 'PCNA', 'CASP10', 'DDIT4']",0.0007245170437963884,0,0,3.139951393574922,7
20,Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273,3.252704029670916e-05,57.81818181818182,597.4606436592223,"['CCNA2', 'PLK1', 'CDC25B']",0.0008408239916699319,0,0,3.075294904851829,3
21,Attenuation Phase R-HSA-3371568,3.6705035971544355e-05,55.30157261794635,564.7726520715403,"['DNAJB1', 'HSPA8', 'HSPA1A']",0.0009036430284423063,0,0,3.0440030976164985,3
22,G0 And Early G1 R-HSA-1538133,4.122055222407173e-05,52.994680851063826,535.0646948580581,"['CCNA2', 'PCNA', 'MYC']",0.0009686829772656856,0,0,3.0138183320836953,3
23,Cyclin E Associated Events During G1/S Transition R-HSA-69202,5.235844070654411e-05,22.153846153846153,218.37926542392495,"['CCNA2', 'CDKN1A', 'CCND1', 'MYC']",0.001142804592910754,0,0,2.942028022864209,4
24,PIP3 Activates AKT Signaling R-HSA-1257604,5.3050890193149116e-05,10.2470506592644,100.8746197821549,"['EGR1', 'USP7', 'RRAGA', 'CDKN1A', 'SRC', 'IER3']",0.001142804592910754,0,0,2.942028022864209,6
25,TFAP2 (AP-2) Family Regulates Transcription Of Cell Cycle Factors R-HSA-8866911,6.0956786529959696e-05,277.0416666666667,2688.78505476905,"['CDKN1A', 'MYC']",0.0012605863454395664,0,0,2.8994274014245605,2
26,Phosphorylation Of Emi1 R-HSA-176417,9.128927051395767e-05,207.77083333333334,1932.5756890799973,"['CDC20', 'PLK1']",0.0017656361830659792,0,0,2.753098779787001,2
27,Transcriptional Regulation By RUNX3 R-HSA-8878159,9.305240181747403e-05,18.976588628762542,176.14729500931637,"['CDKN1A', 'CCND1', 'SRC', 'MYC']",0.0017656361830659792,0,0,2.753098779787001,4
28,Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139,9.903955378900077e-05,38.524177949709866,355.1925837792589,"['CDKN1A', 'CCND1', 'E2F2']",0.0017656361830659792,0,0,2.753098779787001,3
29,HSF1-dependent Transactivation R-HSA-3371571,9.903955378900077e-05,38.524177949709866,355.1925837792589,"['DNAJB1', 'HSPA8', 'HSPA1A']",0.0017656361830659792,0,0,2.753098779787001,3
30,Intracellular Signaling By Second Messengers R-HSA-9006925,0.00011017945243003162,8.931818181818182,81.39923303030542,"['EGR1', 'USP7', 'RRAGA', 'CDKN1A', 'SRC', 'IER3']",0.0018839084110342835,0,0,2.724940214892025,6
31,Diseases Of Mitotic Cell Cycle R-HSA-9675126,0.00011660554961914327,36.319148936170215,328.93213337279053,"['CDKN1A', 'CCND1', 'E2F2']",0.0018839084110342835,0,0,2.724940214892025,3
32,HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497,0.00011660554961914327,36.319148936170215,328.93213337279053,"['DNAJB1', 'HSPA8', 'HSPA1A']",0.0018839084110342835,0,0,2.724940214892025,3
33,NGF-stimulated Transcription R-HSA-9031628,0.00012610069935787855,35.308510638297875,317.0149830122188,"['FOSL1', 'EGR1', 'ID2']",0.0019755776232734303,0,0,2.704305901595278,3
34,Generic Transcription Pathway R-HSA-212436,0.00013768073798541447,4.4905721928622695,39.92376009864443,"['CCNA2', 'USP7', 'RRAGA', 'CDKN1A', 'PCNA', 'CCND1', 'CASP10', 'SRC', 'MYC', 'SERPINE1', 'DDIT4']",0.0020935571040723317,0,0,2.6791151887515987,11
35,Ub-specific Processing Proteases R-HSA-5689880,0.00014313556835946712,11.198412698412698,99.12519513215402,"['CDC20', 'NFKBIA', 'CCNA2', 'USP7', 'MYC']",0.0021143168240527,0,0,2.674829934423005,5
36,RUNX3 Regulates WNT Signaling R-HSA-8951430,0.00016986300982591541,138.5,1202.2517804391236,"['CCND1', 'MYC']",0.0024394215577777296,0,0,2.6127131425330656,2
37,Heme Signaling R-HSA-9707616,0.00019374001249454245,30.25531914893617,258.65252491347,"['NRIP1', 'HMOX1', 'TLR4']",0.002707123958369688,0,0,2.567491857564037,3
38,TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312,0.0002497855682645102,27.618871415356153,229.09599013803128,"['CCNA2', 'CDKN1A', 'PCNA']",0.0033983983892829413,0,0,2.468725710774361,3
39,RNA Polymerase II Transcription R-HSA-73857,0.0003224260667627453,4.043024103746625,32.50444495682895,"['CCNA2', 'USP7', 'RRAGA', 'CDKN1A', 'PCNA', 'CCND1', 'CASP10', 'SRC', 'MYC', 'SERPINE1', 'DDIT4']",0.004274212218367675,0,0,2.369143918536489,11
40,SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577,0.0004330691157728682,22.675531914893618,175.61322428345238,"['CCNA2', 'CDKN1A', 'CCND1']",0.005597418321364321,0,0,2.2520122350137064,3
41,Mitotic Telophase/Cytokinesis R-HSA-68884,0.00046942457388711873,75.52651515151516,578.8354329773197,"['PLK1', 'KIF20A']",0.005919329382918058,0,0,2.2277274929047026,2
42,TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest R-HSA-6804116,0.0005467878206419364,69.22916666666667,520.0114050756229,"['CCNA2', 'CDKN1A']",0.006614909825954136,0,0,2.1794760717119233,2
43,Gap-filling DNA Repair Synthesis And Ligation In TC-NER R-HSA-6782210,0.0005501762524487967,20.811649808161842,156.1970899166922,"['USP7', 'PCNA', 'POLE2']",0.006614909825954136,0,0,2.1794760717119233,3
44,Dual Incision In TC-NER R-HSA-6782135,0.0005757860530510604,20.474948524365132,152.73849688315843,"['USP7', 'PCNA', 'POLE2']",0.00676548612334996,0,0,2.169700992399195,3
45,Deubiquitination R-HSA-5688426,0.0006464509501967324,7.978913219789132,58.59724426627012,"['CDC20', 'NFKBIA', 'CCNA2', 'USP7', 'MYC']",0.0074270031389269036,0,0,2.129186392535413,5
46,Gene Expression (Transcription) R-HSA-74160,0.0007473971774542866,3.6309689383402874,26.13903246079034,"['CCNA2', 'USP7', 'RRAGA', 'CDKN1A', 'PCNA', 'CCND1', 'CASP10', 'SRC', 'MYC', 'SERPINE1', 'DDIT4']",0.008400094363997091,0,0,2.075715835184185,11
47,Regulation Of RUNX1 Expression And Activity R-HSA-8934593,0.0008132713373134499,55.375,393.96243373102385,"['CCND1', 'SRC']",0.00894598471044795,0,0,2.0483718484139497,2
48,Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,0.0009089746531003115,17.38006412124745,121.71594945135638,"['CDC20', 'CCNA2', 'PLK1']",0.009418213943820862,0,0,2.026031448362875,3
49,Protein Ubiquitination R-HSA-8852135,0.0009089746531003115,17.38006412124745,121.71594945135638,"['USP7', 'RRAGA', 'PCNA']",0.009418213943820862,0,0,2.026031448362875,3
50,Transcription-Coupled Nucleotide Excision Repair (TC-NER) R-HSA-6781827,0.0009441676964961806,17.14433582518689,119.41384383677425,"['USP7', 'PCNA', 'POLE2']",0.009418213943820862,0,0,2.026031448362875,3
51,Innate Immune System R-HSA-168249,0.0009465662192554814,4.048780487804878,28.19032093096331,"['NFKBIA', 'HSPA8', 'CASP10', 'SRC', 'HMOX1', 'ALDOC', 'TLR4', 'DUSP6', 'HSPA1A']",0.009418213943820862,0,0,2.026031448362875,9
52,Disease R-HSA-1643685,0.000947286508856257,3.3385028697032606,23.242353064489976,"['NFKBIA', 'CDKN1A', 'CCND1', 'SRC', 'MYC', 'GNAS', 'E2F2', 'HMOX1', 'TLR4', 'DUSP6', 'CDC25B', 'HSPA1A']",0.009418213943820862,0,0,2.026031448362875,12
53,Transcription Of E2F Targets Under Negative Control By DREAM Complex R-HSA-1362277,0.0010193089566942573,48.85539215686274,336.54673838088314,"['PCNA', 'MYC']",0.00994307038888549,0,0,2.0024794861211945,2
54,Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,0.0010548985204026512,16.473887814313347,112.91714561298859,"['CDC20', 'CCNA2', 'PLK1']",0.010099676574966123,0,0,1.9956925335397853,3
55,Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453,0.0010935526678219588,16.261865793780686,110.87866258284605,"['HSPA8', 'DNAJB1', 'HSPA1A']",0.010175324781819187,0,0,1.9924517198225655,3
56,G2/M Transition R-HSA-69275,0.0011021628390365077,9.659013190034196,65.78252399693514,"['CCNA2', 'CDKN1A', 'PLK1', 'CDC25B']",0.010175324781819187,0,0,1.9924517198225655,4
57,Mitotic G2-G2/M Phases R-HSA-453274,0.0011476261530324924,9.55072463768116,64.6589758300864,"['CCNA2', 'CDKN1A', 'PLK1', 'CDC25B']",0.01040917054592629,0,0,1.9825838758380872,4
58,ESR-mediated Signaling R-HSA-8939211,0.0012424779544873586,9.341209829867674,62.49874259702174,"['CCND1', 'SRC', 'MYC', 'NRIP1']",0.010934051140664454,0,0,1.9612188991607198,4
59,PCNA-Dependent Long Patch Base Excision Repair R-HSA-5651801,0.0012477930702112238,43.708333333333336,292.25047477799524,"['PCNA', 'POLE2']",0.010934051140664454,0,0,1.9612188991607198,2
60,APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,0.001344333954493143,15.095744680851064,99.8108989445326,"['CDC20', 'CCNA2', 'PLK1']",0.011583677574549249,0,0,1.9361535393326037,3
61,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,0.001422647284845001,5.415584415584416,35.50043315246668,"['FOSL1', 'EGR1', 'SRC', 'ID2', 'MYC', 'DUSP6']",0.012057518791227304,0,0,1.9187420525725765,6
62,Resolution Of AP Sites Via Multiple-Nucleotide Patch Replacement Pathway R-HSA-110373,0.0017712212130127313,36.09963768115942,228.73040961874747,"['PCNA', 'POLE2']",0.014535259795675905,0,0,1.8375772014704266,2
